,SalePrice,Id,Overall Qual,Gr Liv Area,Garage Area,Garage Cars,Total Bsmt SF,1st Flr SF,Year Built,Full Bath,Mas Vnr Area,TotRms AbvGrd,Fireplaces,BsmtFin SF 1,Wood Deck SF,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Cond,Functional,Sale Type
0,130500,109,6,1479,475.0,2.0,725.0,725,1976,2,289.0,6,0,533.0,0,Sawyer,RRAe,Norm,1Fam,2Story,8,Typ,WD 
1,220000,544,7,2122,559.0,2.0,913.0,913,1996,2,132.0,8,1,637.0,0,SawyerW,Norm,Norm,1Fam,2Story,5,Typ,WD 
2,109000,153,5,1057,246.0,1.0,1057.0,1057,1953,1,0.0,5,0,731.0,0,NAmes,Norm,Norm,1Fam,1Story,7,Typ,WD 
3,174000,318,5,1444,400.0,2.0,384.0,744,2006,2,0.0,7,0,0.0,100,Timber,Norm,Norm,1Fam,2Story,5,Typ,WD 
4,138500,255,6,1445,484.0,2.0,676.0,831,1900,2,0.0,6,0,0.0,0,SawyerW,Norm,Norm,1Fam,1.5Fin,8,Typ,WD 
5,190000,138,6,1888,578.0,2.0,1517.0,1888,1966,2,0.0,6,1,247.0,0,NAmes,PosA,Norm,1Fam,1Story,6,Mod,WD 
6,140000,2827,6,1072,525.0,2.0,547.0,1072,2005,2,82.0,5,0,547.0,0,Edwards,Norm,Norm,TwnhsE,SFoyer,5,Typ,New
7,142000,145,5,1188,531.0,2.0,1188.0,1188,1959,1,180.0,6,0,1000.0,0,NAmes,Norm,Norm,1Fam,1Story,5,Typ,COD
8,112500,1942,5,924,420.0,1.0,924.0,924,1952,1,0.0,6,0,292.0,0,OldTown,Artery,Norm,1Fam,1Story,5,Typ,WD 
9,135000,1956,5,2080,504.0,2.0,1040.0,1040,1969,1,192.0,9,2,650.0,335,NAmes,Norm,Norm,1Fam,2Story,5,Typ,WD 
10,85400,1044,6,987,264.0,1.0,483.0,483,1971,1,232.0,4,0,387.0,0,BrDale,Norm,Norm,Twnhs,2Story,5,Typ,COD
11,183600,2752,7,1208,632.0,2.0,1208.0,1208,2005,2,0.0,6,0,393.0,105,CollgCr,Norm,Norm,1Fam,1Story,5,Typ,WD 
12,131000,807,5,2016,576.0,2.0,0.0,1288,1880,1,0.0,7,1,0.0,0,SawyerW,Feedr,Norm,1Fam,2Story,7,Mod,WD 
13,200000,1177,8,1607,480.0,2.0,960.0,962,1999,2,456.0,7,0,813.0,169,Somerst,Norm,Norm,Twnhs,2Story,5,Typ,ConLD
14,193000,1480,7,1361,610.0,2.0,1351.0,1361,2007,2,0.0,6,0,24.0,0,CollgCr,Norm,Norm,1Fam,1Story,5,Typ,WD 
15,173500,324,5,1430,624.0,2.0,1430.0,1430,2004,2,0.0,7,0,0.0,0,Mitchel,Norm,Norm,1Fam,1Story,5,Typ,WD 
16,98000,1311,5,1344,513.0,3.0,624.0,624,1916,1,0.0,7,0,0.0,0,OldTown,Norm,Norm,1Fam,2Story,5,Typ,COD
17,139000,770,5,1121,480.0,2.0,1121.0,1121,1963,1,0.0,5,0,651.0,0,Sawyer,Feedr,Norm,1Fam,1Story,6,Typ,WD 
18,143500,2063,6,1285,528.0,2.0,660.0,1285,1977,1,148.0,7,1,0.0,138,Sawyer,Norm,Norm,1Fam,1Story,5,Typ,WD 
19,215200,69,7,1547,614.0,2.0,756.0,764,2009,2,0.0,7,0,24.0,169,Somerst,Norm,Norm,1Fam,2Story,5,Typ,Con
20,129000,2062,5,894,450.0,2.0,894.0,894,1968,1,0.0,5,1,492.0,0,Sawyer,Norm,Norm,1Fam,1Story,5,Typ,WD 
21,278000,351,8,1659,499.0,2.0,1501.0,1659,2000,2,0.0,5,1,1158.0,212,StoneBr,Norm,Norm,TwnhsE,1Story,5,Typ,WD 
22,344133,2393,8,2253,575.0,2.0,1209.0,1209,2005,2,,8,1,0.0,243,NridgHt,Norm,Norm,1Fam,2Story,5,Typ,New
23,185000,12,6,1187,420.0,2.0,1168.0,1187,1992,2,0.0,6,0,935.0,483,Gilbert,Norm,Norm,1Fam,1Story,7,Typ,WD 
24,145000,2339,5,1056,572.0,2.0,1056.0,1056,1955,1,0.0,5,0,1056.0,264,Gilbert,Norm,Norm,2fmCon,1Story,5,Typ,WD 
25,187500,624,6,1453,530.0,2.0,1453.0,1453,1961,2,3.0,6,1,1312.0,0,NAmes,Norm,Norm,1Fam,1Story,6,Typ,WD 
26,138500,86,5,894,336.0,1.0,894.0,894,1965,1,0.0,5,1,553.0,416,Sawyer,RRAe,Norm,1Fam,1Story,8,Typ,WD 
27,198000,1534,5,1938,240.0,1.0,942.0,1265,1937,2,0.0,7,1,606.0,0,Crawfor,Norm,Norm,1Fam,1.5Fin,6,Min2,WD 
28,119600,2243,5,1991,0.0,0.0,957.0,1034,1895,2,0.0,9,0,0.0,0,IDOTRR,Feedr,Norm,2fmCon,2Story,6,Typ,WD 
29,122900,1957,5,924,576.0,2.0,672.0,672,1949,1,0.0,6,1,0.0,0,NAmes,Artery,Norm,1Fam,1.5Fin,7,Typ,WD 
30,278000,380,8,2524,542.0,2.0,2524.0,2524,1981,2,0.0,9,1,1104.0,474,NWAmes,PosN,Norm,1Fam,1Story,5,Typ,WD 
31,230000,2860,8,1517,400.0,2.0,792.0,792,1929,1,0.0,7,2,0.0,0,Crawfor,Norm,Norm,1Fam,2Story,7,Typ,WD 
32,270000,2517,8,1494,481.0,2.0,1494.0,1494,1995,1,0.0,6,1,437.0,0,Veenker,Norm,Norm,TwnhsE,1Story,5,Typ,WD 
33,125000,1933,6,948,410.0,2.0,948.0,948,1952,1,0.0,5,0,441.0,0,NAmes,Norm,Norm,1Fam,1Story,6,Typ,WD 
34,297000,820,8,1718,826.0,3.0,1705.0,1718,2007,2,336.0,7,1,1288.0,208,CollgCr,Norm,Norm,1Fam,1Story,5,Typ,WD 
35,113500,675,6,1142,384.0,1.0,160.0,1142,1958,1,82.0,5,1,0.0,0,NAmes,Norm,Norm,1Fam,1Story,6,Typ,WD 
36,127000,2910,5,1475,336.0,1.0,757.0,925,1977,2,0.0,6,1,548.0,104,MeadowV,Norm,Norm,TwnhsE,2Story,6,Typ,WD 
37,190000,21,6,1844,546.0,2.0,1844.0,1844,1977,2,480.0,7,1,705.0,0,NWAmes,Norm,Norm,1Fam,1Story,6,Typ,COD
38,175500,1873,7,1242,528.0,2.0,1242.0,1242,1973,1,320.0,6,1,916.0,0,NWAmes,Norm,Norm,1Fam,1Story,6,Typ,WD 
39,146000,2125,5,990,384.0,1.0,990.0,990,1994,1,0.0,5,0,420.0,256,CollgCr,Norm,Norm,1Fam,1Story,7,Typ,WD 
40,147500,1489,5,1256,276.0,1.0,1256.0,1256,1965,1,0.0,6,0,830.0,736,Edwards,Norm,Norm,1Fam,1Story,6,Typ,WD 
41,465000,2383,10,2076,850.0,3.0,2076.0,2076,2006,2,,7,1,1386.0,216,NridgHt,Norm,Norm,1Fam,1Story,5,Typ,New
42,165500,983,5,1110,602.0,2.0,1097.0,1110,1978,1,104.0,4,1,1097.0,303,Mitchel,Norm,Norm,1Fam,SFoyer,6,Typ,WD 
43,131500,1325,5,1795,352.0,1.0,1050.0,1050,1954,2,335.0,7,0,0.0,0,OldTown,Norm,Norm,1Fam,1.5Fin,5,Typ,WD 
44,129500,1378,5,1040,384.0,1.0,1040.0,1040,1965,1,0.0,5,0,906.0,0,Sawyer,Norm,Norm,1Fam,1Story,5,Typ,WD 
45,257076,1537,8,1873,786.0,2.0,608.0,983,1935,1,40.0,9,2,210.0,0,Crawfor,Norm,Norm,1Fam,2Story,6,Typ,WD 
46,117000,905,5,1604,660.0,2.0,984.0,984,1941,2,0.0,6,0,408.0,0,Edwards,Norm,Norm,1Fam,1.5Fin,5,Min2,WD 
47,149000,1532,7,1502,270.0,1.0,776.0,851,1931,1,0.0,6,1,0.0,0,Crawfor,Norm,Norm,1Fam,2Story,6,Typ,WD 
48,128000,132,5,1063,280.0,1.0,1056.0,1063,1954,1,110.0,6,0,354.0,0,NAmes,Norm,Norm,1Fam,1Story,5,Typ,WD 
49,155000,1078,7,1626,474.0,2.0,764.0,764,2003,2,106.0,6,0,0.0,0,NridgHt,Norm,Norm,Twnhs,2Story,5,Typ,WD 
50,166000,2511,6,1524,440.0,2.0,756.0,768,2000,2,513.0,4,0,353.0,0,Somerst,Norm,Norm,TwnhsE,2Story,5,Typ,WD 
51,135000,912,4,1981,576.0,2.0,1122.0,1328,1928,2,0.0,7,2,622.0,431,SWISU,Norm,Norm,1Fam,1.5Fin,3,Min2,WD 
52,250000,2351,7,2784,564.0,2.0,1392.0,1392,1978,3,184.0,12,2,790.0,0,NWAmes,RRAn,Norm,1Fam,2Story,5,Typ,WD 
53,76000,330,4,1092,0.0,0.0,546.0,546,1970,1,0.0,5,0,176.0,200,MeadowV,Norm,Norm,Twnhs,2Story,7,Typ,WD 
54,155000,2586,6,1575,400.0,2.0,216.0,1575,1951,1,522.0,5,1,0.0,0,NAmes,Norm,Norm,1Fam,1Story,6,Typ,WD 
55,158000,224,6,1352,299.0,1.0,663.0,663,1969,1,143.0,7,0,371.0,379,Sawyer,Norm,Norm,1Fam,2Story,7,Typ,WD 
56,149500,98,7,1200,480.0,2.0,600.0,600,2004,2,0.0,4,0,368.0,0,Somerst,Norm,Norm,Twnhs,2Story,5,Typ,WD 
57,121000,2565,5,936,240.0,1.0,936.0,936,1954,1,0.0,5,0,486.0,0,NAmes,Norm,Norm,1Fam,1Story,6,Typ,WD 
58,136000,1934,6,1040,293.0,1.0,1040.0,1040,1953,1,0.0,6,0,85.0,0,NAmes,Norm,Norm,1Fam,1Story,7,Typ,WD 
59,173000,997,6,1636,386.0,2.0,916.0,916,1996,2,0.0,7,1,138.0,168,Gilbert,Norm,Norm,1Fam,2Story,5,Typ,WD 
60,290000,64,8,2270,671.0,3.0,1152.0,1164,1999,2,348.0,9,1,524.0,132,NoRidge,Norm,Norm,1Fam,2Story,7,Typ,WD 
61,303477,1799,8,2610,550.0,2.0,1184.0,1184,2007,2,0.0,11,1,64.0,208,Somerst,Norm,Norm,1Fam,2Story,5,Typ,New
62,270000,230,7,1483,690.0,2.0,1420.0,1483,1977,1,0.0,4,2,1092.0,496,ClearCr,Norm,Norm,1Fam,1Story,7,Typ,WD 
63,122250,1295,5,1740,225.0,1.0,936.0,960,1920,1,0.0,6,1,360.0,0,OldTown,Artery,Norm,1Fam,1.5Fin,5,Typ,WD 
64,153000,638,5,1382,350.0,1.0,1382.0,1382,1955,1,0.0,6,0,172.0,280,NAmes,Norm,Norm,1Fam,1Story,5,Typ,WD 
65,147000,2278,5,1120,0.0,0.0,1120.0,1120,2007,1,0.0,6,0,206.0,0,Mitchel,Feedr,Norm,1Fam,1Story,5,Typ,New
66,148500,2202,7,1098,216.0,1.0,531.0,567,1930,1,0.0,5,1,246.0,0,Crawfor,Norm,Norm,1Fam,2Story,8,Typ,WD 
67,130000,2833,7,1708,380.0,2.0,976.0,976,2004,2,117.0,7,0,0.0,0,Edwards,Norm,Norm,TwnhsE,2Story,5,Maj1,WD 
68,372000,1707,9,1802,843.0,3.0,1802.0,1802,2006,2,510.0,7,1,0.0,158,NridgHt,Norm,Norm,1Fam,1Story,5,Typ,WD 
69,213490,2428,7,1506,440.0,2.0,1362.0,1506,2005,2,145.0,6,1,16.0,142,Blmngtn,Norm,Norm,TwnhsE,1Story,5,Typ,WD 
70,308030,242,7,1508,572.0,2.0,1508.0,1508,2009,1,96.0,5,2,1346.0,0,Edwards,Norm,Norm,1Fam,1Story,5,Typ,Con
71,300000,1564,7,2032,786.0,3.0,1840.0,2032,1996,3,668.0,7,0,700.0,0,Mitchel,Norm,Norm,1Fam,1Story,5,Typ,WD 
72,159500,2613,6,1194,539.0,2.0,655.0,1194,1959,1,0.0,6,1,655.0,0,NAmes,Norm,Norm,1Fam,1Story,6,Typ,WD 
73,137500,2832,7,1709,380.0,2.0,970.0,970,2004,2,50.0,7,0,0.0,0,Edwards,Norm,Norm,Twnhs,2Story,5,Maj1,WD 
74,232000,2459,7,1616,834.0,3.0,1616.0,1616,2005,2,228.0,7,0,0.0,208,Somerst,Norm,Norm,1Fam,1Story,5,Typ,WD 
75,93850,1360,6,768,440.0,2.0,768.0,768,1930,1,0.0,4,0,0.0,0,IDOTRR,RRNe,Norm,1Fam,1Story,6,Typ,WD 
76,105000,2723,5,872,322.0,1.0,872.0,872,1924,1,65.0,5,1,0.0,0,Sawyer,Norm,Norm,1Fam,1Story,5,Mod,WD 
77,68500,1350,4,520,240.0,1.0,520.0,520,1927,1,0.0,4,0,0.0,49,BrkSide,Feedr,RRNn,1Fam,1Story,6,Typ,WD 
78,154300,136,5,2274,480.0,2.0,1105.0,1105,1960,2,361.0,12,0,443.0,0,NAmes,Feedr,Norm,Duplex,2Story,5,Typ,WD 
79,129850,2235,5,1601,0.0,0.0,936.0,936,1925,2,0.0,6,0,0.0,0,IDOTRR,Artery,Norm,1Fam,1.5Fin,7,Typ,WD 
80,114000,1993,5,1232,480.0,2.0,616.0,616,1910,1,0.0,6,0,168.0,280,OldTown,Norm,Norm,1Fam,2Story,7,Typ,WD 
81,501837,367,9,2234,1166.0,3.0,2216.0,2234,2008,2,748.0,9,1,1904.0,0,StoneBr,Norm,Norm,1Fam,1Story,5,Typ,New
82,153900,1309,5,1416,720.0,3.0,876.0,876,1915,1,0.0,7,1,0.0,418,OldTown,Artery,Norm,1Fam,1.5Fin,8,Typ,WD 
83,130000,402,4,864,576.0,2.0,864.0,864,1971,1,0.0,5,0,240.0,200,NAmes,Norm,Norm,1Fam,1Story,7,Typ,WD 
84,160500,1592,6,1189,392.0,2.0,1189.0,1189,1997,2,197.0,4,0,864.0,0,Mitchel,Norm,Norm,TwnhsE,1Story,5,Typ,WD 
85,310090,2409,9,1666,575.0,2.0,1666.0,1666,2006,2,572.0,6,1,415.0,228,NridgHt,Norm,Norm,TwnhsE,1Story,5,Typ,New
86,184900,539,7,1200,555.0,2.0,1176.0,1200,2003,2,,5,0,833.0,0,SawyerW,Norm,Norm,1Fam,1Story,5,Typ,WD 
87,132000,1940,5,928,252.0,1.0,928.0,928,1956,1,0.0,4,0,377.0,261,NAmes,Norm,Norm,1Fam,1Story,7,Typ,WD 
88,163000,588,5,1336,502.0,2.0,1288.0,1336,1969,2,128.0,6,1,553.0,312,NWAmes,Feedr,Norm,1Fam,1Story,5,Typ,WD 
89,155000,96,7,1200,480.0,2.0,600.0,600,2004,2,120.0,4,0,280.0,0,Somerst,Norm,Norm,TwnhsE,2Story,5,Typ,ConLD
90,183000,1187,6,1427,516.0,2.0,1427.0,1427,1969,2,0.0,7,0,828.0,0,NWAmes,Norm,Norm,1Fam,SLvl,6,Typ,WD 
91,211000,2154,7,1992,608.0,2.0,860.0,1212,1996,2,254.0,7,2,762.0,225,CollgCr,Norm,Norm,1Fam,2Story,5,Min2,WD 
92,184000,550,7,1540,495.0,2.0,754.0,754,1994,2,0.0,6,0,36.0,140,SawyerW,RRAe,Norm,1Fam,2Story,5,Typ,WD 
93,118858,811,5,1535,400.0,2.0,0.0,1535,1979,2,0.0,8,0,0.0,0,SawyerW,Norm,Norm,Duplex,1Story,5,Typ,WD 
94,180500,124,5,1152,484.0,2.0,1152.0,1152,1964,1,86.0,6,1,1014.0,227,NAmes,Norm,Norm,1Fam,SLvl,7,Typ,WD 
95,166000,1836,8,1151,484.0,2.0,1141.0,1151,2006,2,30.0,5,0,60.0,0,Somerst,Norm,Norm,TwnhsE,1Story,5,Typ,New
96,148000,779,6,1138,480.0,2.0,1138.0,1138,1960,1,54.0,6,1,588.0,0,Sawyer,Norm,Norm,1Fam,SLvl,5,Typ,COD
97,124000,1886,5,1074,396.0,2.0,894.0,1074,1956,1,0.0,6,1,438.0,0,NAmes,Norm,Norm,1Fam,1Story,5,Min1,WD 
98,277500,1724,9,1561,556.0,2.0,1561.0,1561,2005,2,246.0,6,1,1153.0,203,NridgHt,Norm,Norm,TwnhsE,1Story,5,Typ,WD 
99,350000,2450,8,2726,725.0,3.0,1342.0,1358,1995,2,397.0,9,1,527.0,307,NoRidge,Norm,Norm,1Fam,2Story,5,Typ,WD 
100,387000,1013,9,1884,670.0,3.0,1884.0,1884,2004,2,296.0,7,1,1337.0,214,StoneBr,Norm,Norm,1Fam,1Story,5,Typ,WD 
101,86000,2084,4,605,0.0,0.0,528.0,605,1920,1,0.0,5,0,348.0,0,Edwards,Norm,Norm,1Fam,1Story,7,Typ,WD 
102,290000,1184,8,1671,550.0,2.0,1426.0,1671,1976,3,0.0,6,1,1044.0,280,Veenker,Norm,Norm,1Fam,1Story,9,Typ,WD 
103,44000,728,3,797,0.0,0.0,245.0,797,1900,1,0.0,5,0,0.0,0,IDOTRR,Norm,Norm,1Fam,1Story,3,Typ,WD 
104,215000,950,6,1961,560.0,2.0,804.0,804,2001,2,0.0,7,1,690.0,125,Mitchel,Norm,Norm,1Fam,2Story,5,Typ,WD 
105,146500,2524,5,1193,501.0,2.0,1153.0,1193,1972,2,144.0,6,0,962.0,140,NWAmes,RRAn,Feedr,2fmCon,1Story,6,Typ,WD 
106,165000,2513,7,1382,490.0,2.0,673.0,673,2000,2,0.0,6,0,641.0,153,Somerst,Norm,Norm,Twnhs,2Story,5,Typ,WD 
107,136000,2028,6,2526,216.0,1.0,714.0,1664,1916,2,0.0,10,1,168.0,88,OldTown,Artery,Norm,1Fam,1.5Fin,7,Typ,CWD
108,252000,2309,6,1390,550.0,2.0,1705.0,1390,1957,1,902.0,4,2,1110.0,0,NAmes,Norm,Norm,1Fam,1Story,6,Min1,WD 
109,175500,51,7,1626,474.0,2.0,764.0,764,2003,2,106.0,6,0,0.0,0,NridgHt,Norm,Norm,Twnhs,2Story,5,Typ,WD 
110,150000,699,5,1558,400.0,2.0,690.0,868,1939,1,0.0,7,1,421.0,0,OldTown,Norm,Norm,1Fam,2Story,6,Typ,WD 
111,139900,1881,5,1422,286.0,1.0,978.0,1422,1960,1,0.0,6,1,0.0,0,NAmes,Norm,Norm,1Fam,1Story,5,Min1,WD 
112,162900,1345,5,1573,360.0,2.0,1078.0,1128,1930,2,0.0,8,1,0.0,0,BrkSide,Norm,Norm,1Fam,1.5Fin,7,Typ,WD 
113,160000,166,6,1116,440.0,2.0,1116.0,1116,1962,1,261.0,5,0,0.0,0,NAmes,Norm,Norm,1Fam,1Story,6,Typ,WD 
114,63900,781,2,660,0.0,0.0,0.0,660,1947,1,0.0,5,0,0.0,0,Sawyer,Norm,Norm,1Fam,1Story,2,Min2,WD 
115,184000,379,6,1707,479.0,2.0,1140.0,1707,1978,2,144.0,7,1,832.0,0,NWAmes,Norm,Norm,1Fam,1Story,5,Typ,WD 
116,149900,2818,5,1466,528.0,2.0,1466.0,1466,1959,1,132.0,6,2,176.0,0,Edwards,Norm,Norm,1Fam,1Story,4,Typ,WD 
117,300000,1168,9,1638,495.0,2.0,1614.0,1638,2000,2,260.0,5,1,1027.0,230,Somerst,Norm,Norm,TwnhsE,1Story,5,Typ,WD 
118,145000,1396,5,1721,626.0,2.0,988.0,1721,1960,2,275.0,7,2,988.0,50,ClearCr,Norm,Norm,1Fam,1Story,3,Mod,WD 
119,231500,838,6,1764,470.0,2.0,928.0,928,1997,2,0.0,7,0,821.0,276,CollgCr,Norm,Norm,1Fam,2Story,5,Typ,WD 
120,108000,1492,5,996,0.0,0.0,996.0,996,1940,1,0.0,6,1,290.0,144,Edwards,Norm,Norm,1Fam,1Story,6,Typ,WD 
121,120000,637,5,1202,304.0,1.0,1202.0,1202,1956,1,0.0,6,0,435.0,0,NAmes,Norm,Norm,1Fam,1Story,5,Typ,COD
122,128500,1826,5,988,572.0,2.0,988.0,988,1961,1,57.0,5,0,827.0,0,Sawyer,Norm,Norm,1Fam,1Story,5,Typ,WD 
123,115000,173,5,1028,360.0,2.0,1008.0,1028,1927,1,0.0,5,1,0.0,0,OldTown,Artery,Norm,1Fam,1Story,6,Typ,WD 
124,110000,715,5,1284,240.0,1.0,720.0,720,1947,1,0.0,5,0,312.0,0,OldTown,Norm,Norm,1Fam,1.5Fin,7,Typ,WD 
125,150000,1183,9,2944,864.0,3.0,994.0,1599,1977,2,1050.0,9,1,410.0,140,Veenker,Norm,Norm,1Fam,2Story,3,Typ,WD 
126,178000,2433,8,1414,403.0,2.0,707.0,707,2004,2,0.0,6,1,0.0,100,Gilbert,Norm,Norm,1Fam,2Story,5,Typ,WD 
127,199500,2866,7,1609,579.0,3.0,637.0,959,1932,1,0.0,8,2,0.0,0,Crawfor,Norm,Norm,1Fam,2Story,7,Typ,WD 
128,183500,2311,6,1525,400.0,2.0,813.0,813,1997,2,0.0,6,1,700.0,421,Gilbert,Norm,Norm,1Fam,2Story,5,Typ,WD 
129,126000,1551,5,1656,288.0,1.0,624.0,1092,1967,1,0.0,7,1,257.0,0,IDOTRR,Norm,Norm,1Fam,SLvl,5,Mod,WD 
130,148500,1049,7,1055,440.0,2.0,1055.0,1055,1977,2,0.0,4,0,378.0,0,NPkVill,Norm,Norm,Twnhs,1Story,6,Typ,WD 
131,149000,657,5,1352,720.0,2.0,676.0,676,1939,2,0.0,7,0,0.0,187,OldTown,Norm,Norm,1Fam,2Story,7,Typ,WD 
